thermostat_id,equipment_type,zipcode,utc_offset,interval_data_filename
5443B2FB1998,3,93550,-8,thermo_5443b2-fb1998-3gt4vl.csv
5443B2FB2CDC,1,92587,-8,thermo_5443b2-fb2cdc-zFfKad.csv
5443B2F9CD04,3,92122,-8,thermo_5443b2-f9cd04-i0WP6P.csv
80646FFD7ED8,2,94536,-8,thermo_80646f-fd7ed8-4pn12n.csv
5443B2FAECD4,3,93618,-8,thermo_5443b2-faecd4-HnR8hz.csv
A842E3B0779C,3,95358,-8,thermo_a842e3-b0779c-iloduB.csv
80646FFDEC30,2,91006,-8,thermo_80646f-fdec30-XYZ1i0.csv
A842E3B0EF2C,3,95132,-8,thermo_a842e3-b0ef2c-p0ebNd.csv
80646FFD7E34,2,98012,-8,thermo_80646f-fd7e34-kZ0NzJ.csv
08D1F98087E8,2,94903,-8,thermo_08d1f9-8087e8-DWQi0X.csv
80646FFD6350,2,94531,-8,thermo_80646f-fd6350-cBV2do.csv
80646FFD48E4,2,98117,-8,thermo_80646f-fd48e4-H5sH6Y.csv
24DCC3AFA4E4,1,98503,-8,thermo_24dcc3-afa4e4-zVN5CQ.csv
08D1F980A624,2,98033,-8,thermo_08d1f9-80a624-Pworpx.csv
A0DD6C009C54,2,97702,-8,thermo_a0dd6c-009c54-9he1sp.csv
10061CF2B68C,2,94538,-8,thermo_10061c-f2b68c-S7xp54.csv
5443B2F9B32C,3,97405,-8,thermo_5443b2-f9b32c-Qh5s5e.csv
A0DD6C009694,2,95831,-8,thermo_a0dd6c-009694-h9WqQA.csv
08D1F983C650,2,98590,-8,thermo_08d1f9-83c650-kZJ5TN.csv
30C922A3FDE4,3,91768,-8,thermo_30c922-a3fde4-nNUfI7.csv
B0A732C485D8,2,95405,-8,thermo_b0a732-c485d8-0dZN5A.csv
B0A732C55970,2,98146,-8,thermo_b0a732-c55970-PHZU9u.csv
08D1F9849BC4,2,98584,-8,thermo_08d1f9-849bc4-Y16R9u.csv
A842E3B07678,1,95223,-8,thermo_a842e3-b07678-IdclTV.csv
80646FFDDAF4,2,97233,-8,thermo_80646f-fddaf4-wyqXcb.csv
30C922A3C3B4,3,91775,-8,thermo_30c922-a3c3b4-Sisyu7.csv
80646FFD5DE4,2,92883,-8,thermo_80646f-fd5de4-JHCO2a.csv
30C922A3D634,1,98382,-8,thermo_30c922-a3d634-DLzBsu.csv
80646FFD4984,2,94306,-8,thermo_80646f-fd4984-RPKM1d.csv
08D1F980B718,2,98375,-8,thermo_08d1f9-80b718-fuLabk.csv
80646FFD77E4,2,91505,-8,thermo_80646f-fd77e4-IAg8VP.csv
80646FFD5740,2,95128,-8,thermo_80646f-fd5740-xRBsHX.csv
A0DD6C009CD4,2,98528,-8,thermo_a0dd6c-009cd4-NzUMsz.csv
30C922A3DAF4,3,92807,-8,thermo_30c922-a3daf4-tPD5dY.csv
A0DD6C009268,2,98272,-8,thermo_a0dd6c-009268-YqMkg6.csv
80646FFD6D60,2,98026,-8,thermo_80646f-fd6d60-eXAhbL.csv
5443B2F9CBAC,3,94040,-8,thermo_5443b2-f9cbac-XK9okd.csv
5443B2F9DD68,3,97405,-8,thermo_5443b2-f9dd68-fJ92h5.csv
A842E3B11934,3,92657,-8,thermo_a842e3-b11934-8ulVgB.csv
5443B2FB2C98,3,93622,-8,thermo_5443b2-fb2c98-CXaGfJ.csv
80646FFD5F04,2,92264,-8,thermo_80646f-fd5f04-wRAZHR.csv
80646FFD565C,2,99143,-8,thermo_80646f-fd565c-GpKBDD.csv
B0A732C50480,2,89040,-8,thermo_b0a732-c50480-GGo2xD.csv
10061CF2B3D0,2,92501,-8,thermo_10061c-f2b3d0-tqKtF5.csv
80646FFDE450,2,90278,-8,thermo_80646f-fde450-en2AN9.csv
5443B2FB196C,3,95973,-8,thermo_5443b2-fb196c-WHOz7v.csv
08D1F98083F8,2,98338,-8,thermo_08d1f9-8083f8-uO7zHa.csv
B0A732C52320,2,92399,-8,thermo_b0a732-c52320-whttnI.csv
